wl_id,boundary_kind,Q_R_Byte,Q_S_Byte,M_OP,RI_state,RI_exact
wl_7b_q_prefill_b1_l2048_load_tp_r192_c160,tile_port,25690112,278921216,52613349376,finite,76/7
wl_7b_q_prefill_b1_l8192_load_tp_r192_c160,tile_port,25690112,1115684864,210453397504,finite,304/7
wl_7b_q_decode_b8_static_tp_r192_c160,tile_port,0,1089536,205520896,infinite,
wl_7b_q_decode_b8_load_tp_r192_c160,tile_port,25690112,1089536,205520896,finite,19/448
wl_7b_q_prefill_b8_l2048_load_tp_r192_c160,tile_port,25690112,2231369728,420906795008,finite,608/7
wl_7b_q_prefill_b8_l8192_load_tp_r192_c160,tile_port,25690112,8925478912,1683627180032,finite,2432/7
wl_7b_k_decode_b1_static_tp_r192_c160,tile_port,0,21504,3670016,infinite,
wl_7b_k_decode_b1_load_tp_r192_c160,tile_port,3670016,21504,3670016,finite,3/512
wl_7b_k_prefill_b1_l2048_load_tp_r192_c160,tile_port,3670016,44040192,7516192768,finite,12
wl_7b_k_prefill_b1_l8192_load_tp_r192_c160,tile_port,3670016,176160768,30064771072,finite,48
wl_7b_k_decode_b8_static_tp_r192_c160,tile_port,0,172032,29360128,infinite,
wl_7b_k_decode_b8_load_tp_r192_c160,tile_port,3670016,172032,29360128,finite,3/64
wl_7b_k_prefill_b8_l2048_load_tp_r192_c160,tile_port,3670016,352321536,60129542144,finite,96
wl_7b_k_prefill_b8_l8192_load_tp_r192_c160,tile_port,3670016,1409286144,240518168576,finite,384
wl_7b_v_decode_b1_static_tp_r192_c160,tile_port,0,21504,3670016,infinite,
wl_7b_v_decode_b1_load_tp_r192_c160,tile_port,3670016,21504,3670016,finite,3/512
wl_7b_v_prefill_b1_l2048_load_tp_r192_c160,tile_port,3670016,44040192,7516192768,finite,12
wl_7b_v_prefill_b1_l8192_load_tp_r192_c160,tile_port,3670016,176160768,30064771072,finite,48
wl_7b_v_decode_b8_static_tp_r192_c160,tile_port,0,172032,29360128,infinite,
wl_7b_v_decode_b8_load_tp_r192_c160,tile_port,3670016,172032,29360128,finite,3/64
wl_7b_v_prefill_b8_l2048_load_tp_r192_c160,tile_port,3670016,352321536,60129542144,finite,96
wl_7b_v_prefill_b8_l8192_load_tp_r192_c160,tile_port,3670016,1409286144,240518168576,finite,384
wl_7b_o_decode_b1_static_tp_r192_c160,tile_port,0,136192,25690112,infinite,
wl_7b_o_decode_b1_load_tp_r192_c160,tile_port,25690112,136192,25690112,finite,19/3584
wl_7b_o_prefill_b1_l2048_load_tp_r192_c160,tile_port,25690112,278921216,52613349376,finite,76/7
wl_7b_o_prefill_b1_l8192_load_tp_r192_c160,tile_port,25690112,1115684864,210453397504,finite,304/7
wl_7b_o_decode_b8_static_tp_r192_c160,tile_port,0,1089536,205520896,infinite,
wl_7b_o_decode_b8_load_tp_r192_c160,tile_port,25690112,1089536,205520896,finite,19/448
wl_7b_o_prefill_b8_l2048_load_tp_r192_c160,tile_port,25690112,2231369728,420906795008,finite,608/7
wl_7b_o_prefill_b8_l8192_load_tp_r192_c160,tile_port,25690112,8925478912,1683627180032,finite,2432/7
wl_7b_gate_decode_b1_static_tp_r192_c160,tile_port,0,709632,135790592,infinite,
wl_7b_gate_decode_b1_load_tp_r192_c160,tile_port,135790592,709632,135790592,finite,99/18944
wl_7b_gate_prefill_b1_l2048_load_tp_r192_c160,tile_port,135790592,1453326336,278099132416,finite,396/37
wl_7b_gate_prefill_b1_l8192_load_tp_r192_c160,tile_port,135790592,5813305344,1112396529664,finite,1584/37
wl_7b_gate_decode_b8_static_tp_r192_c160,tile_port,0,5677056,1086324736,infinite,
wl_7b_gate_decode_b8_load_tp_r192_c160,tile_port,135790592,5677056,1086324736,finite,99/2368
wl_7b_gate_prefill_b8_l2048_load_tp_r192_c160,tile_port,135790592,11626610688,2224793059328,finite,3168/37
wl_7b_gate_prefill_b8_l8192_load_tp_r192_c160,tile_port,135790592,46506442752,8899172237312,finite,12672/37
wl_7b_up_decode_b1_static_tp_r192_c160,tile_port,0,709632,135790592,infinite,
wl_7b_up_decode_b1_load_tp_r192_c160,tile_port,135790592,709632,135790592,finite,99/18944
wl_7b_up_prefill_b1_l2048_load_tp_r192_c160,tile_port,135790592,1453326336,278099132416,finite,396/37
wl_7b_up_prefill_b1_l8192_load_tp_r192_c160,tile_port,135790592,5813305344,1112396529664,finite,1584/37
wl_7b_up_decode_b8_static_tp_r192_c160,tile_port,0,5677056,1086324736,infinite,
wl_7b_up_decode_b8_load_tp_r192_c160,tile_port,135790592,5677056,1086324736,finite,99/2368
wl_7b_up_prefill_b8_l2048_load_tp_r192_c160,tile_port,135790592,11626610688,2224793059328,finite,3168/37
wl_7b_up_prefill_b8_l8192_load_tp_r192_c160,tile_port,135790592,46506442752,8899172237312,finite,12672/37
wl_7b_down_decode_b1_static_tp_r192_c160,tile_port,0,719872,135790592,infinite,
wl_7b_down_decode_b1_load_tp_r192_c160,tile_port,135790592,719872,135790592,finite,19/3584
wl_7b_down_prefill_b1_l2048_load_tp_r192_c160,tile_port,135790592,1474297856,278099132416,finite,76/7
wl_7b_down_prefill_b1_l8192_load_tp_r192_c160,tile_port,135790592,5897191424,1112396529664,finite,304/7
wl_7b_down_decode_b8_static_tp_r192_c160,tile_port,0,5758976,1086324736,infinite,
wl_7b_down_decode_b8_load_tp_r192_c160,tile_port,135790592,5758976,1086324736,finite,19/448
wl_7b_down_prefill_b8_l2048_load_tp_r192_c160,tile_port,135790592,11794382848,2224793059328,finite,608/7
wl_7b_down_prefill_b8_l8192_load_tp_r192_c160,tile_port,135790592,47177531392,8899172237312,finite,2432/7
wl_7b_lm_head_decode_b1_static_tp_r192_c160,tile_port,0,5677056,1089994752,infinite,
wl_7b_lm_head_decode_b1_load_tp_r192_c160,tile_port,1089994752,5677056,1089994752,finite,1/192
wl_7b_lm_head_prefill_b1_l2048_load_tp_r192_c160,tile_port,1089994752,11626610688,2232309252096,finite,32/3
wl_7b_lm_head_prefill_b1_l8192_load_tp_r192_c160,tile_port,1089994752,46506442752,8929237008384,finite,128/3
wl_7b_lm_head_decode_b8_static_tp_r192_c160,tile_port,0,45416448,8719958016,infinite,
wl_7b_lm_head_decode_b8_load_tp_r192_c160,tile_port,1089994752,45416448,8719958016,finite,1/24
wl_7b_lm_head_prefill_b8_l2048_load_tp_r192_c160,tile_port,1089994752,93012885504,17858474016768,finite,256/3
wl_7b_lm_head_prefill_b8_l8192_load_tp_r192_c160,tile_port,1089994752,372051542016,71433896067072,finite,1024/3
wl_7b_gate_reload_b1_l2048_e4_tp_r192_c160,tile_port,543162368,1453326336,278099132416,finite,99/37
wl_7b_attn_prefill_b1_l2048_tp_r192_c160_qk,tile_port,2097152,85786624,15039725568,finite,1309/32
wl_7b_attn_prefill_b1_l2048_tp_r192_c160_av,tile_port,2097152,117497856,15039725568,finite,14343/256
wl_7b_attn_prefill_b1_l2048_tp_r192_c160,tile_port,4194304,203284480,30079451136,finite,24815/512
wl_7b_attn_prefill_b1_l8192_tp_r192_c160_qk,tile_port,8388608,1282211840,240547528704,finite,19565/128
wl_7b_attn_prefill_b1_l8192_tp_r192_c160_av,tile_port,8388608,1879277568,240547528704,finite,57351/256
wl_7b_attn_prefill_b1_l8192_tp_r192_c160,tile_port,16777216,3161489408,481095057408,finite,96481/512
wl_7b_attn_decode_b1_v2048_tp_r192_c160_qk,tile_port,1024,78848,14680064,finite,77
wl_7b_attn_decode_b1_v2048_tp_r192_c160_av,tile_port,1024,114688,14680064,finite,112
wl_7b_attn_decode_b1_v2048_tp_r192_c160,tile_port,2048,193536,29360128,finite,189/2
wl_7b_attn_decode_b1_v8192_tp_r192_c160_qk,tile_port,1024,308224,58720256,finite,301
wl_7b_attn_decode_b1_v8192_tp_r192_c160_av,tile_port,1024,458752,58720256,finite,448
