case_id,component,boundary,Q_S_Byte,Q_R_Byte,RI,tile_evaluations,final_valid_Byte,allocated_Byte
ling_1t/attention_prefill/131072,AV,ports,549760008192,134217728,131073/32,4299161600,134217728,134217728
ling_1t/attention_prefill/131072,AV,operator,549760008192,134217728,131073/32,None,134217728,134217728
ling_1t/attention_decode/1024,total,ports,131072,2048,64,1024,2097152,2097152
ling_1t/attention_decode/1024,total,operator,73728,2048,36,None,2097152,2097152
ling_1t/attention_decode/1024,QK,ports,65536,1024,64,512,1048576,1048576
ling_1t/attention_decode/1024,QK,operator,8192,1024,8,None,1048576,1048576
ling_1t/attention_decode/1024,AV,ports,65536,1024,64,512,1048576,1048576
ling_1t/attention_decode/1024,AV,operator,65536,1024,64,None,1048576,1048576
ling_1t/attention_decode/16384,total,ports,2097152,2048,1024,16384,33554432,33554432
ling_1t/attention_decode/16384,total,operator,1056768,2048,516,None,33554432,33554432
ling_1t/attention_decode/16384,QK,ports,1048576,1024,1024,8192,16777216,16777216
ling_1t/attention_decode/16384,QK,operator,8192,1024,8,None,16777216,16777216
ling_1t/attention_decode/16384,AV,ports,1048576,1024,1024,8192,16777216,16777216
ling_1t/attention_decode/16384,AV,operator,1048576,1024,1024,None,16777216,16777216
ling_1t/attention_decode/131072,total,ports,16777216,2048,8192,131072,268435456,268435456
ling_1t/attention_decode/131072,total,operator,8396800,2048,4100,None,268435456,268435456
ling_1t/attention_decode/131072,QK,ports,8388608,1024,8192,65536,134217728,134217728
ling_1t/attention_decode/131072,QK,operator,8192,1024,8,None,134217728,134217728
ling_1t/attention_decode/131072,AV,ports,8388608,1024,8192,65536,134217728,134217728
ling_1t/attention_decode/131072,AV,operator,8388608,1024,8192,None,134217728,134217728
mimo_v25_pro/attention_prefill/1024,total,ports,180420608,2621440,2753/40,1769472,2621440,3145728
mimo_v25_pro/attention_prefill/1024,total,operator,92340224,2621440,1409/40,None,2621440,3145728
mimo_v25_pro/attention_prefill/1024,QK,ports,113246208,1572864,72,1179648,1572864,2097152
mimo_v25_pro/attention_prefill/1024,QK,operator,25165824,1572864,16,None,1572864,2097152
mimo_v25_pro/attention_prefill/1024,AV,ports,67174400,1048576,1025/16,589824,1048576,1048576
mimo_v25_pro/attention_prefill/1024,AV,operator,67174400,1048576,1025/16,None,1048576,1048576
mimo_v25_pro/attention_prefill/16384,total,ports,43152048128,41943040,41153/40,405798912,41943040,50331648
mimo_v25_pro/attention_prefill/16384,total,operator,17583570944,41943040,16769/40,None,41943040,50331648
mimo_v25_pro/attention_prefill/16384,QK,ports,25971130368,25165824,1032,270532608,25165824,33554432
mimo_v25_pro/attention_prefill/16384,QK,operator,402653184,25165824,16,None,25165824,33554432
mimo_v25_pro/attention_prefill/16384,AV,ports,17180917760,16777216,16385/16,135266304,16777216,16777216
mimo_v25_pro/attention_prefill/16384,AV,operator,17180917760,16777216,16385/16,None,16777216,16777216
mimo_v25_pro/attention_prefill/131072,total,ports,2750398070784,335544320,327873/40,25794969600,335544320,402653184
mimo_v25_pro/attention_prefill/131072,total,operator,1102741241856,335544320,131457/40,None,335544320,402653184
mimo_v25_pro/attention_prefill/131072,QK,ports,1650878054400,201326592,8200,17196646400,201326592,268435456
mimo_v25_pro/attention_prefill/131072,QK,operator,3221225472,201326592,16,None,201326592,268435456
mimo_v25_pro/attention_prefill/131072,AV,ports,1099520016384,134217728,131073/16,8598323200,134217728,134217728
mimo_v25_pro/attention_prefill/131072,AV,operator,1099520016384,134217728,131073/16,None,134217728,134217728
mimo_v25_pro/attention_decode/1024,total,ports,327680,2560,128,3072,2621440,3145728
mimo_v25_pro/attention_decode/1024,total,operator,155648,2560,304/5,None,2621440,3145728
mimo_v25_pro/attention_decode/1024,QK,ports,196608,1536,128,2048,1572864,2097152
mimo_v25_pro/attention_decode/1024,QK,operator,24576,1536,16,None,1572864,2097152
mimo_v25_pro/attention_decode/1024,AV,ports,131072,1024,128,1024,1048576,1048576
mimo_v25_pro/attention_decode/1024,AV,operator,131072,1024,128,None,1048576,1048576
mimo_v25_pro/attention_decode/16384,total,ports,5242880,2560,2048,49152,41943040,50331648
mimo_v25_pro/attention_decode/16384,total,operator,2121728,2560,4144/5,None,41943040,50331648
mimo_v25_pro/attention_decode/16384,QK,ports,3145728,1536,2048,32768,25165824,33554432
mimo_v25_pro/attention_decode/16384,QK,operator,24576,1536,16,None,25165824,33554432
mimo_v25_pro/attention_decode/16384,AV,ports,2097152,1024,2048,16384,16777216,16777216
mimo_v25_pro/attention_decode/16384,AV,operator,2097152,1024,2048,None,16777216,16777216
mimo_v25_pro/attention_decode/131072,total,ports,41943040,2560,16384,393216,335544320,402653184
mimo_v25_pro/attention_decode/131072,total,operator,16801792,2560,32816/5,None,335544320,402653184
mimo_v25_pro/attention_decode/131072,QK,ports,25165824,1536,16384,262144,201326592,268435456
mimo_v25_pro/attention_decode/131072,QK,operator,24576,1536,16,None,201326592,268435456
mimo_v25_pro/attention_decode/131072,AV,ports,16777216,1024,16384,131072,134217728,134217728
mimo_v25_pro/attention_decode/131072,AV,operator,16777216,1024,16384,None,134217728,134217728
